date,apr_pct,tvl_usd
2026-02-27,42.24614,11779108
2026-02-28,55.08836,11873386
2026-03-01,74.96436,11625812
2026-03-02,81.49317,12727244
2026-03-03,78.39177,12594710
2026-03-04,66.51515,13228572
2026-03-05,47.40532,13036898
2026-03-06,43.2137,12396560
2026-03-07,16.59009,12584692
2026-03-13,56.27747,13216146
2026-03-14,11.93106,13123885
2026-03-15,34.11824,14218409
2026-03-16,54.5717,13363370
2026-03-17,35.97261,13314031
2026-03-18,34.91659,12551728
2026-03-19,44.9548,12713853
2026-03-20,43.09963,12803496
2026-03-21,8.42576,12739143
2026-03-22,35.00107,12132173
2026-03-23,63.65943,12745416
2026-03-24,43.13402,12793366
2026-03-25,35.03496,13714852
2026-03-26,31.78007,13233612
2026-03-27,33.065,12759473
2026-03-28,15.59914,13066786
2026-03-29,14.32389,13030047
2026-03-30,43.07364,13405120
2026-03-31,54.48284,13690932
2026-04-01,40.2514,12938158
2026-04-02,41.89575,12772738
2026-04-03,16.89866,13474857
2026-04-04,5.37296,13167922
2026-04-05,13.08556,13155043
2026-04-06,33.97389,13460968
2026-04-07,41.44705,13678190
2026-04-08,35.91534,13221491
2026-04-09,28.51022,13372049
2026-04-10,23.13196,13811853
2026-04-11,13.90705,14091168
2026-04-12,23.6263,13787006
2026-04-13,36.90973,14464578
2026-04-14,30.26274,13716674
2026-04-15,24.23001,14178418
2026-04-16,29.11476,14181044
2026-04-17,34.94371,13689532
2026-04-18,17.89095,13396464
2026-04-19,24.33677,12993065
2026-04-20,34.7573,13000926
2026-04-21,34.31987,13089674
2026-04-22,31.86603,13284088
2026-04-23,30.47847,13124916
2026-04-24,18.5665,12846187
2026-04-25,4.47876,12831467
2026-04-26,12.24088,13114334
2026-04-27,24.79421,12623332
2026-04-28,16.74683,12489170
2026-04-29,26.30519,12914599
2026-04-30,18.15854,13603590
2026-05-01,16.62533,14190896
2026-05-02,7.28861,14237942
2026-05-03,13.06465,13753772
2026-05-04,41.06168,13877886
2026-05-05,23.80442,13963857
2026-05-06,26.56812,13779557
2026-05-07,21.80456,13418008
2026-05-08,17.61747,13469711
2026-05-09,7.54064,13577205
2026-05-10,16.06232,13883201
2026-05-11,21.91345,13946997
2026-05-12,19.37717,13603720
2026-05-13,17.66559,13678453
2026-05-14,23.11265,13717631
2026-05-15,23.95611,13037830
2026-05-16,11.10046,14579497
2026-05-17,10.10439,12921246
2026-05-18,45.42909,13332835
2026-05-19,22.7448,13474486
2026-05-20,22.203,13561559
2026-05-21,24.30164,14076164
2026-05-22,29.41873,13724773
2026-05-23,29.57772,14168552
2026-05-24,20.13452,13622497
2026-05-25,18.90429,13695625
2026-05-26,31.04135,14108610
2026-05-27,32.75995,13303386
2026-05-28,27.20995,12936384
2026-05-29,19.45695,12940520
2026-05-30,7.85426,12486876
2026-05-31,9.32989,12242998
2026-06-01,35.67829,11991154
2026-06-02,48.38699,10890659
2026-06-03,60.6464,10064168
2026-06-04,91.19619,9916151
2026-06-05,142.63984,8717944
2026-06-06,74.77207,7831692
2026-06-07,45.58768,9171971
2026-06-08,60.82881,8851730
2026-06-09,44.11361,9054392
