date,apr_pct,tvl_usd
2025-12-06,8.77,5045348
2025-12-07,29.72188,4908485
2025-12-08,38.18252,5094809
2025-12-09,40.52445,4899211
2025-12-10,40.93519,5344305
2025-12-11,43.91082,5304606
2025-12-12,36.23703,5502237
2025-12-13,5.49433,5536028
2025-12-14,10.9389,5476025
2025-12-15,37.98969,5548310
2025-12-16,36.82045,5082950
2025-12-17,36.76002,5556774
2025-12-20,4.88419,6175308
2025-12-21,6.14742,6240051
2025-12-22,38.41291,6355846
2025-12-23,29.46908,6132421
2025-12-24,16.49242,6212463
2025-12-25,8.45478,6223456
2025-12-26,26.06093,6522788
2025-12-27,14.80469,6516087
2025-12-31,14.02133,6695539
2026-01-01,6.11998,6760548
2026-01-02,32.47091,6682001
2026-01-06,29.11511,6929804
2026-01-07,25.5255,6615110
2026-01-08,34.632,6613343
2026-01-09,37.80702,7236748
2026-01-10,3.32389,7327219
2026-01-11,7.07089,7392323
2026-01-12,36.4365,7524806
2026-01-13,35.40803,7969579
2026-01-14,31.18545,7480343
2026-01-15,40.7913,6960430
2026-01-16,20.00622,6921808
2026-01-17,3.95117,6828415
2026-01-18,4.24279,6898215
2026-01-19,27.05614,7228308
2026-01-20,39.12417,7151225
2026-01-21,38.70541,6696933
2026-01-22,31.09204,7073574
2026-01-23,30.51191,7617243
2026-01-24,4.22848,7583260
2026-01-25,22.89186,7420909
2026-01-26,35.98953,7494708
2026-01-27,26.73322,7349387
2026-01-28,32.91348,7447691
2026-01-29,38.41212,7457726
2026-01-30,52.03273,6684658
2026-01-31,78.14099,6924344
2026-02-01,31.58802,6894990
2026-02-02,72.13954,7080018
2026-02-03,66.50618,6236024
2026-02-04,60.89895,6366929
2026-02-05,202.89901,4168856
2026-02-06,107.1408,5285923
2026-02-07,83.54208,5214182
2026-02-08,30.86619,5461372
2026-02-09,68.942,5204818
2026-02-10,42.72832,5219414
2026-02-11,63.49611,4866155
2026-02-12,54.24545,5005133
2026-02-13,49.9539,5515981
2026-02-14,38.01767,5459471
2026-02-15,28.08318,5530778
2026-02-16,31.86411,5698360
2026-02-17,40.10495,5779724
2026-02-18,32.58466,6007706
2026-02-19,34.49579,6149556
2026-02-20,36.83151,6100015
2026-02-21,12.4217,6513119
2026-02-22,14.75638,7007977
2026-02-23,34.20574,5649883
2026-02-24,45.49103,5651353
2026-02-25,45.79155,6379470
2026-02-26,56.80904,7431037
2026-02-27,40.37136,7664539
2026-02-28,54.88878,7285325
2026-03-01,66.2998,7507392
2026-03-02,89.75961,6775789
2026-03-03,64.8576,7608048
2026-03-04,73.60066,8270746
2026-03-05,62.47215,8039375
2026-03-06,56.46196,7615058
2026-03-07,17.62378,7054226
2026-03-13,55.03651,7486751
2026-03-14,12.95119,7560331
2026-03-15,20.6422,8029249
2026-03-16,51.6949,7346801
2026-03-17,39.22812,7584551
2026-03-18,38.24504,7611219
2026-03-19,45.12161,7667656
2026-03-20,43.90788,7782367
2026-03-21,9.07063,7795119
2026-03-22,35.15519,7916348
2026-03-23,75.90371,8400678
2026-03-24,54.03218,8413199
2026-03-25,45.48682,8958294
2026-03-26,42.26333,8796317
2026-03-27,45.791,7638877
2026-03-28,14.76005,8192862
2026-03-29,26.42836,7828860
2026-03-30,45.68792,8796625
2026-03-31,71.41307,8865139
2026-04-01,50.22437,8954787
2026-04-02,51.93909,9324503
2026-04-03,14.00257,10131654
2026-04-04,5.78278,10267149
2026-04-05,14.98847,9782774
2026-04-06,40.75122,10216944
2026-04-07,49.01093,10554119
2026-04-08,54.89196,11243513
2026-04-09,40.22001,10834035
2026-04-10,37.01331,11195814
2026-04-11,13.49908,11355297
2026-04-12,23.62206,11251337
2026-04-13,41.39425,11200553
2026-04-14,34.7981,10568970
2026-04-15,32.10643,10610157
2026-04-16,35.3102,11249517
2026-04-17,40.0851,10069386
2026-04-18,15.11306,10756550
2026-04-19,27.12779,9863831
2026-04-20,33.54416,10620376
2026-04-21,34.52477,10155059
2026-04-22,25.45947,10724525
2026-04-23,33.75631,10368477
2026-04-24,21.21044,10336650
2026-04-25,4.29793,10568035
2026-04-26,13.07131,11044485
2026-04-27,26.93324,10473300
2026-04-28,17.3978,11104755
2026-04-29,27.86936,10617972
2026-04-30,20.51107,10737996
2026-05-01,23.44963,10422760
2026-05-02,6.73322,10928932
2026-05-03,9.8142,10807554
2026-05-04,51.00034,9892644
2026-05-05,23.15544,9633547
2026-05-06,23.52798,9692261
2026-05-07,21.37906,8922141
2026-05-08,17.9543,8862783
2026-05-09,5.49353,9363475
